Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality,House_Price
1360,2,1,1981,0.599636639626833,0,5,262382.852274056
4272,3,3,2016,4.75301384940204,1,6,985260.854490162
3592,1,2,2016,3.63482272047825,0,9,777977.390118581
966,1,2,1977,2.73066687604351,1,8,229698.918663611
4926,2,1,1993,4.69907255483739,0,8,1041740.8589249
3944,5,3,1990,2.47593004362873,2,8,879796.983522378
3671,1,2,2012,4.91196006621667,0,1,814427.861408988
3419,1,1,1972,2.80528140759568,1,1,703413.11094468
630,3,3,1997,1.01428596499091,1,8,173875.037215585
2185,4,2,1981,3.94160437606675,2,5,504176.506059368
1269,2,2,2006,3.55503976285028,1,9,335332.592752939
2891,2,3,1982,3.97844024587514,0,2,635097.3959198
2933,5,3,1973,4.78148912926557,2,9,701133.804147117
1684,5,3,1988,3.99420186192958,1,8,440726.284816288
3885,2,3,1983,3.25101470997491,1,9,838719.430503504
4617,5,1,2005,4.35789006062378,0,4,1019192.6613592
3404,3,3,1977,3.52960897709539,0,1,735850.812342157
974,2,2,1986,2.33653575571665,2,1,234261.649974739
1582,5,2,1956,4.48528893908798,1,5,396246.358888745
3058,2,1,2017,1.49855207352968,0,2,672852.051981
2547,4,2,1986,3.71588573708926,2,8,586086.56853891
3247,1,2,2005,4.46703554723341,1,10,740174.014655078
1475,2,3,2014,3.79092433866483,1,5,370167.090902715
2306,1,2,2014,3.63773938574236,2,5,530824.196775212
689,5,1,1996,3.88687232332326,2,2,227515.300287981
3234,1,3,1969,2.5927486173529,0,7,652166.142365886
3505,2,3,1968,4.43376806970662,1,8,745670.637147723
2399,4,1,1978,1.41546413811241,1,10,513161.951193064
1767,5,3,2009,1.07323887200153,1,1,432357.906102744
2028,2,3,1967,1.7847895105333,2,2,434165.896634051
3702,5,1,1984,2.89209828548747,0,10,809686.201143527
4056,3,3,1992,2.79752807934202,1,4,883819.091121856
4390,1,1,1960,4.19269440954464,2,5,912468.047904673
1146,3,1,1998,2.32055895381808,1,2,281313.061444848
3388,2,2,1987,2.67954991831179,0,1,705923.314891619
2935,4,2,2013,0.56015457466728,1,9,656980.460428217
1100,5,3,2018,2.34382656399323,0,1,318266.277132087
2863,1,3,1957,3.41498404827654,0,4,582468.797736524
2561,5,1,1983,0.569787487819665,1,2,541967.633559251
741,2,3,1997,1.7639688433381,1,4,188531.423457106
2541,5,1,2005,1.43580361680225,0,8,565562.75043214
3324,1,1,2014,0.688934430093147,2,8,697574.555667032
3112,2,3,1980,2.65667040461542,0,9,666733.473461693
1863,5,1,1953,1.3177548195267,1,5,376388.021628644
1978,4,2,1999,3.84386692834121,1,7,485380.950195631
3056,2,3,2018,4.31567547693507,2,3,735678.462201729
1275,2,2,1979,2.95513332201117,0,10,296291.001007507
4514,4,3,2008,4.91768304134514,0,4,1046315.89601366
534,3,1,2016,2.52715357161768,0,10,187508.58531168
3652,1,3,1994,2.81015694601212,1,9,793995.284875781
2455,3,2,1953,4.95147989280988,0,10,527393.51288759
2085,5,1,1975,1.54196796184272,2,10,467768.122943975
4443,4,3,1976,4.74145672854607,1,1,981190.782911222
3573,3,3,1995,0.69276899803601,1,2,750481.716935158
1521,2,3,2013,2.50874100618438,0,5,377511.268498091
3961,5,2,2000,0.815015804598796,2,3,866877.352415097
3113,5,2,1999,3.78155634311139,1,2,731331.661056713
4343,3,3,1955,3.23784021146008,1,1,899382.865158481
2000,3,1,2008,3.67985418560418,0,10,485622.401919989
661,4,1,1964,2.18516179985608,0,3,147601.551577082
4797,1,2,1979,2.16266870314121,2,1,986006.861736761
2481,3,1,1991,0.703936755324026,0,1,509725.550655089
1495,3,2,1986,2.07475222788338,2,1,346932.620900894
3842,2,3,1991,4.68179781017927,1,8,863289.396903094
4298,5,2,1984,2.20651941731202,2,3,919295.854061521
1775,1,2,1955,4.24115467799887,2,1,406069.270912752
1516,2,3,2017,4.2904647713747,2,7,397346.110877676
837,4,1,1967,2.17958520370655,1,10,191117.10122305
1378,4,2,2022,3.34394906178285,0,3,384461.35482616
1576,3,2,1978,0.929172210228764,1,8,340980.724817785
4493,3,3,2008,0.966553613304244,0,4,951093.546993847
879,4,1,1996,0.71895948647771,2,4,217010.48526715
992,3,2,1966,3.11456792018799,2,5,248224.019656096
2562,1,3,1971,2.41731939931744,2,6,538349.096215185
4384,3,2,2017,2.96614560498908,2,7,985223.996654185
564,5,3,2018,2.84482935728775,2,4,242865.931501632
3068,3,1,1986,2.07591345990829,0,8,654466.945408681
2527,2,1,1998,3.54863036670563,0,6,551967.88826688
3195,1,1,1962,3.91325846412376,2,1,663904.992717799
1995,2,1,1983,0.565827164949541,1,1,397482.747987036
891,2,2,2002,1.43259034895995,1,9,209632.841477505
4974,5,2,2000,3.70956140637502,2,10,1107045.06293508
4061,1,1,1952,2.23979077685225,0,6,787420.404074986
2778,1,1,1991,3.48117776123724,1,10,605371.704717061
3599,1,1,1981,2.06133196880551,1,8,721018.063903139
700,1,2,2000,2.25839818548337,1,7,199066.378910669
3604,1,1,1995,1.21405493160358,2,6,730047.497388133
2954,5,1,1970,1.66203958849772,1,4,627923.61719947
4145,3,1,1993,3.22435290878414,1,7,898283.886735643
1304,2,3,1960,2.44923400091825,1,9,277832.105711773
3231,1,1,2017,3.98436207325068,1,10,731490.11753309
3273,3,3,1950,4.33663229722254,0,10,688357.648480334
2070,3,3,2012,2.93740888197542,2,7,525582.310221457
3190,2,1,1973,3.91220281425227,2,1,684824.534863442
4340,5,3,1962,1.88107030937557,0,10,903251.940560945
1528,4,1,1960,2.36737046930035,0,9,323118.739315231
1002,4,2,2000,3.70749954297574,2,4,307101.685838563
4993,3,2,1966,2.23795396767664,1,3,1020324.75659665
1370,2,2,1973,3.14827220821545,1,4,304730.506229004
4988,4,2,1968,1.3341775058713,2,4,1026397.29661223
706,3,3,1986,3.19897091736724,1,10,199414.942632809
1984,5,1,1957,4.37681168252102,0,2,472657.614317233
1363,4,1,1977,4.40887837920542,1,1,340069.229775934
3290,3,1,1954,3.75954982848293,1,10,696709.415289048
1063,3,2,1966,3.85589020584257,1,1,266533.053924116
4691,1,2,1985,3.01067350317815,2,8,971514.762042853
2257,5,1,1968,3.13100640574621,0,2,501305.548994066
2178,1,2,2013,1.10142761634733,1,10,480961.442038317
3742,2,1,1960,2.49736634789585,2,5,758977.881867575
1559,1,1,2003,2.52849327748864,1,4,364658.52862084
2222,1,1,1994,4.81324026050483,0,8,515813.757835391
3814,4,1,1996,2.4398908818048,1,2,834587.511773655
3657,3,1,1961,2.97204190206241,0,10,747384.060808206
3125,5,1,1970,2.89963129675596,1,9,667696.044973525
3229,1,1,1960,3.36542772669947,0,7,645145.539846864
2097,5,2,1954,3.86704774099353,1,7,481368.12552157
3560,1,1,2005,1.51268844276892,0,1,740148.193776857
3193,2,1,1969,2.87925988594296,1,2,639073.18424154
4127,1,2,1990,4.21662968292214,1,4,886568.313227715
1863,4,2,1995,2.5840162122688,2,4,450941.135437264
2481,3,2,1961,1.75305895868108,2,3,513720.441817061
2163,2,1,2019,3.44619083910335,0,7,521205.600976709
2029,1,3,1966,4.20695328109605,1,8,455122.09995895
2538,5,3,1968,0.784131318173261,0,2,551463.888853408
3802,2,2,1975,3.99555717533252,2,4,816173.752426486
2737,2,3,1997,4.19741569832797,0,3,637736.010399989
1806,1,2,2001,2.57685317414873,0,2,420203.461557506
4529,2,1,2019,4.9248754556831,2,6,1026790.06632797
3175,5,3,2004,4.04018753318289,1,4,744681.397063456
1782,2,1,1982,3.9814815420305,0,6,400585.462355034
1209,5,3,2011,3.86527358485432,2,2,368327.456718317
4913,1,1,1972,1.17773646448223,1,4,977158.592317997
4248,3,3,1964,1.47753898903855,2,6,883626.620385724
1163,2,1,1976,2.58795559158991,0,5,244030.407133591
2498,3,1,2013,1.6880195748176,1,3,558598.678761433
3945,5,3,2000,2.36858437550318,1,8,860329.492310986
4243,2,1,2002,4.49808849465314,2,7,947490.777477816
1995,4,1,2000,4.20947101345671,2,3,492018.322795084
3804,3,1,1996,3.33517945315992,2,6,832386.331195844
4263,2,3,1953,4.36154177412997,1,4,893926.629472069
2353,3,3,1956,4.02697575057762,1,5,534464.912008798
1791,2,1,1984,2.43043219328401,0,5,355281.418485286
4081,1,1,1997,1.40479318422475,1,7,834105.794340112
3957,3,3,2022,2.81390468004203,0,5,885550.382625653
2136,4,3,2021,3.81302997137848,2,3,551859.08569476
4196,4,1,1994,2.46388819428317,2,10,922420.588370604
3499,5,1,2021,3.50047359402754,1,5,804433.809321855
3652,2,1,1968,0.924473418309696,2,7,734985.063047002
1198,3,2,2012,3.86602131367132,2,5,346152.847592131
2660,5,3,1987,4.15721128951878,1,5,649973.361868137
4597,3,2,2016,3.68077035101243,0,9,1006939.66441741
1354,2,3,2008,4.85268614386865,1,3,370260.603166792
3974,4,3,2018,4.21993425857288,0,6,928059.712953367
2207,1,3,1962,4.56392177544442,1,1,492112.039714968
3277,4,3,1996,4.70106987555942,1,10,752466.674666624
2233,5,3,2010,4.10606596343214,2,5,573797.939306849
4010,1,3,1980,3.53416478902925,1,8,854876.298373919
702,5,3,1971,0.525733616123552,1,5,183663.646457319
3755,2,2,1992,2.59621588950406,0,9,788150.931810631
4718,1,1,2016,3.07023034380062,2,6,981510.89525884
4996,5,1,2003,1.868136226016,0,8,1070454.27524761
1266,2,2,1959,1.93147001106562,0,10,241968.843266545
